MAL_ID,Name,MAL Score,English name,Type,Episodes,Studios,Source,Duration,Rating,Year,Stats Score,Action,Comedy,Drama,Fantasy,Historical,Horror,Kids,Magic,Music,Parody,Romance,School,Sci-Fi,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life
30045,Shin Saru Kani Gassen,5.32,Unknown,Movie,1,Unknown,Other,11,G - All Ages,1939,4.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33134,Kachikachi Yama (1939),0,Unknown,Movie,1,Unknown,Other,8,G - All Ages,1939,6.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7501,Kintarou Taiiku Nikki,5.45,Unknown,Movie,1,Unknown,Original,9,G - All Ages,1940,4.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28143,Ochou Fujin no Gensou,5.73,Unknown,Movie,1,Unknown,Other,12,G - All Ages,1940,5.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28241,Ahiru Rikusentai,5.16,Duck Brigade,Movie,1,Unknown,Original,13,G - All Ages,1940,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33135,Kachikachi Yama (1940),0,Unknown,Movie,1,Unknown,Other,10,G - All Ages,1940,5.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6843,Kangaroo no Tanjoubi,5.36,Baby Kangaroo's Birthday Surprise,Movie,1,Unknown,Original,9,G - All Ages,1941,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28245,Ari-chan,5.22,Arichan the Ant,Movie,1,Unknown,Original,11,G - All Ages,1941,5.07,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28827,Doubutsu Tonarigumi,5.4,The Animal Neighborhood Community,Movie,1,Unknown,Original,10,G - All Ages,1941,4.84,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34993,Namake Gitsune,5.48,The Lazy Fox,Movie,1,Unknown,Unknown,11,G - All Ages,1941,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6848,Doubutsu Mura no Daisodou,5.13,The Animal Village in Trouble,Movie,1,Unknown,Original,8,G - All Ages,1942,4.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23969,Fuku-chan no Kishuu,0,Unknown,Movie,1,Shochiku Animation Institute,Other,11,G - All Ages,1942,5.48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
