name,especie,era,country,diet,type,superorder,order,suborder,clade
massospondylus,carinatus,Jurassic,Zimbabwe,omnivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
maxakalisaurus,topai,Cretaceous,Brazil,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
melanorosaurus,readi,Triassic,South Africa,omnivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
microceratus,gobiensis,Cretaceous,Mongolia,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
micropachycephalosaurus,hongtuyanensis,Cretaceous,China,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
microraptor,zhaoianus,Cretaceous,China,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
minmi,paravertebra,Cretaceous,Australia,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
monolophosaurus,jiangi,Jurassic,China,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
mononykus,olecranus,Cretaceous,Mongolia,unknown,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
mussaurus,patagonicus,Triassic,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
muttaburrasaurus,langdoni,Cretaceous,Australia,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
nanshiungosaurus,brevispinus,Cretaceous,China,omnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
nedoceratops,hatcheri,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
nemegtosaurus,mongoliensis,Cretaceous,Mongolia,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
neovenator,salerii,Cretaceous,United Kingdom,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
neuquenosaurus,australis,Cretaceous,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
nigersaurus,taqueti,Cretaceous,Tunisia,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
nipponosaurus,sachalinensis,Cretaceous,Russia,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
noasaurus,leali,Cretaceous,Argentina,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
nodosaurus,textilis,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
nomingia,gobiensis,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
nothronychus,mckinleyi,Cretaceous,USA,omnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
nqwebasaurus,thwazi,Jurassic,South Africa,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
omeisaurus,junghsiensis,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
opisthocoelicaudia,skarzynskii ,Cretaceous,Mongolia,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
ornitholestes,hermanni,Jurassic,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
ornithomimus,velox,Cretaceous,USA,omnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
ouranosaurus,nigeriensis,Cretaceous,Niger,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
oviraptor,philoceratops,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
pachycephalosaurus,wyomingensis,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
pachyrhinosaurus,canadensis,Cretaceous,Canada,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
panoplosaurus,mirus,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
